Year,Month,Freight_Tonnes
2001,Jan,142970
2001,Feb,150864
2001,Mar,188571
2001,Apr,164845
2001,May,159071
2001,Jun,164286
2001,Jul,162248
2001,Aug,167716
2001,Sep,182436
2001,Oct,198540
2001,Nov,203789
2001,Dec,188996
2002,Jan,166688
2002,Feb,149040
2002,Mar,211960
2002,Apr,196938
2002,May,198192
2002,Jun,205190
2002,Jul,208759
2002,Aug,207631
2002,Sep,217738
2002,Oct,249305
2002,Nov,252310
2002,Dec,215067
2003,Jan,198108
2003,Feb,159973
2003,Mar,236444
2003,Apr,203216
2003,May,200730
2003,Jun,201373
2003,Jul,211253
2003,Aug,219158
2003,Sep,234942
2003,Oct,260979
2003,Nov,267798
2003,Dec,248128
2004,Jan,197032
2004,Feb,222918
2004,Mar,269849
2004,Apr,248393
2004,May,245894
2004,Jun,248533
2004,Jul,257126
2004,Aug,254485
2004,Sep,277215
2004,Oct,293883
2004,Nov,295159
2004,Dec,279425
2005,Jan,247115
2005,Feb,204611
2005,Mar,290913
2005,Apr,285336
2005,May,270880
2005,Jun,279924
2005,Jul,290201
2005,Aug,282344
2005,Sep,303498
2005,Oct,318160
2005,Nov,319088
2005,Dec,310181
2006,Jan,269275
2006,Feb,224184
2006,Mar,320386
2006,Apr,294978
2006,May,283584
2006,Jun,289774
2006,Jul,293305
2006,Aug,293176
2006,Sep,321129
2006,Oct,328201
2006,Nov,342714
2006,Dec,319643
2007,Jan,270778
2007,Feb,234940
2007,Mar,303261
2007,Apr,298302
2007,May,294224
2007,Jun,304773
2007,Jul,314819
2007,Aug,323471
2007,Sep,342581
2007,Oct,352595
2007,Nov,364067
2007,Dec,338227
2008,Jan,295429
2008,Feb,246494
2008,Mar,334196
2008,Apr,320372
2008,May,314207
2008,Jun,311863
2008,Jul,317176
2008,Aug,311048
2008,Sep,317582
2008,Oct,319859
2008,Nov,295531
2008,Dec,243493
2009,Jan,209981
2009,Feb,197581
2009,Mar,267921
2009,Apr,256599
2009,May,258647
2009,Jun,269739
2009,Jul,291591
2009,Aug,295817
2009,Sep,303904
2009,Oct,323122
2009,Nov,343560
2009,Dec,328784
2010,Jan,300579
2010,Feb,257098
2010,Mar,347483
2010,Apr,352843
2010,May,366316
2010,Jun,347338
2010,Jul,363300
2010,Aug,346151
2010,Sep,345948
2010,Oct,372546
2010,Nov,367188
2010,Dec,361381
2011,Jan,333312
2011,Feb,241903
2011,Mar,369324
2011,Apr,329507
2011,May,329297
2011,Jun,320935
2011,Jul,340398
2011,Aug,318328
2011,Sep,324998
2011,Oct,342293
2011,Nov,342097
2011,Dec,345634
2012,Jan,275623
2012,Feb,285922
2012,Mar,368265
2012,Apr,327321
2012,May,332961
2012,Jun,333795
2012,Jul,334704
2012,Aug,327991
2012,Sep,346714
2012,Oct,345896
2012,Nov,374177
2012,Dec,371983
2013,Jan,334308
2013,Feb,250390
2013,Mar,359634
2013,Apr,341562
2013,May,338791
2013,Jun,336424
2013,Jul,341600
2013,Aug,336387
2013,Sep,346051
2013,Oct,367382
2013,Nov,399184
2013,Dec,375401
2014,Jan,350343
2014,Feb,247157
2014,Mar,396689
2014,Apr,362381
2014,May,367224
2014,Jun,361494
2014,Jul,370176
2014,Aug,365288
2014,Sep,363868
2014,Oct,384220
2014,Nov,420199
2014,Dec,387310
2015,Jan,355762
2015,Feb,303024
2015,Mar,364082
2015,Apr,360613
2015,May,365712
2015,Jun,349392
2015,Jul,362866
2015,Aug,361018
2015,Sep,367615
2015,Oct,392133
2015,Nov,406937
2015,Dec,390985
2016,Jan,360838
2016,Feb,257664
2016,Mar,367516
2016,Apr,365565
2016,May,362264
2016,Jun,367972
2016,Jul,380154
2016,Aug,374117
2016,Sep,394182
2016,Oct,420173
2016,Nov,436075
2016,Dec,434507
2017,Jan,373232
2017,Feb,294355
2017,Mar,432992
2017,Apr,397907
2017,May,408759
2017,Jun,410240
2017,Jul,422660
2017,Aug,411840
2017,Sep,428288
2017,Oct,429941
2017,Nov,465664
2017,Dec,461550
2018,Jan,409419
2018,Feb,313932
2018,Mar,421741
2018,Apr,419724
2018,May,428271
2018,Jun,416010
2018,Jul,424833
2018,Aug,423345
2018,Sep,423294
2018,Oct,443681
2018,Nov,455381
2018,Dec,438223
2019,Jan,392752
2019,Feb,269403
2019,Mar,422207
2019,Apr,385034
2019,May,395742
2019,Jun,379142
2019,Jul,392016
2019,Aug,378339
2019,Sep,397126
2019,Oct,419228
2019,Nov,439538
2019,Dec,433062
2020,Jan,351348
2020,Feb,246544
2020,Mar,374661
2020,Apr,334557
2020,May,374433
2020,Jun,354367
2020,Jul,369477
2020,Aug,368087
2020,Sep,382049
2020,Oct,399316
2020,Nov,430145
2020,Dec,435327
2021,Jan,406499
2021,Feb,307315
2021,Mar,393498
2021,Apr,383010
2021,May,401287
2021,Jun,396395
2021,Jul,416111
2021,Aug,425290
2021,Sep,452026
2021,Oct,458326
2021,Nov,473866
2021,Dec,472635
2022,Jan,387749
2022,Feb,269898
2022,Mar,349082
2022,Apr,373199
2022,May,362111
2022,Jun,360263
2022,Jul,345384
2022,Aug,336149
2022,Sep,338565
2022,Oct,347997
2022,Nov,351144
2022,Dec,347584
2023,Jan,285368
2023,Feb,288151
2023,Mar,369324
2023,Apr,343407
2023,May,347011
2023,Jun,351831
2023,Jul,358833
2023,Aug,364526
